STT,Tiêu đề,Link Youtube,Số comment
1,Điều kì diệu trong phòng giam số 7,https://youtu.be/4KcuQPbtbW0?si=Rjzolqhj0bF0N50f,1.495
2,GIA TÀI CỦA NGOẠI,https://youtu.be/-fUbcfFXGCM?si=wehcVzuWyGvvSJ70,340
3,Lật Mặt 7: Một Điều Ước,https://youtu.be/0J51aUryra4?si=378F6Fecek3Jy2UK,1.311
4, Bộ tứ Báo Thủ,https://youtu.be/9kyqi4x7XHo?si=iHf8xMRmqMwYaq3L,1.374
5,Mai,https://youtu.be/EX6clvId19s?si=SDNRhtOrXV9W-HE7,881
6,Mai 2,https://youtu.be/h_1t3-6oWz4?si=ES8gC4OlJ0nMv-lG,2433
7,Nha Ba Nu,https://youtu.be/IkaP0KJWTsQ?si=uqKOiTDbp4zR99Pu,623
8, Lật Mặt 7: 2,https://youtu.be/4B-IN5KjkQg?si=2d1fmh5eTc0m7W9N,584
9,Chị Dâu,https://youtu.be/4Cvbg5sta1M?si=RqwnrOeGgGoFwKbh,702
10,Hai Muối,https://youtu.be/KgaNNFGYQmg?si=II0_nJjn5aPRjOk-,715
11,Lật Mặt 6 - Tấm vé định mệnh,https://youtu.be/ZOLrxv_BDL4?si=mhU6RZD6Y2gr36Ed,1.009
12,RÒM,https://youtu.be/TkK0aabk6DI?si=37If3b_PSFQ0SL8J,2.854
13,RÒM: 2,https://youtu.be/lMudf-aJ-E4?si=PD41ftDLxHkpXR4m,3.341
14,RÒM: 3,https://youtu.be/Eoi1h_ROWxc?si=pyvA8yVgbqsUyx0H,524
15,Con nhót mót chồng,https://youtu.be/EsNYsi2WQdg?si=PQTaw7V9kw9SnQO8,551
16,Nắng,https://youtu.be/cZPW0j4v_6A?si=Fl97FR_aMMnUTnUU,425
17,Hem cut ,https://youtu.be/vLfB38iI2lA?si=KWhku9tcQ34SAt-5,8.415
18,Ngày Mai Bố Mẹ Ly Hôn ,https://youtu.be/x0GZ9HHgcGg?si=VYFt43kkhCohmI0G,1.447
19,MÙI TỔ ẤM,https://youtu.be/QnGnSDFgRQI?si=7F2JTuUgRh_paOy3,592
20,Hoa Trắng,https://youtu.be/c_jpvTZlXuY?si=sy9QhttLwaGTm75k,301
21,Hem cut ,https://youtu.be/JHLMP_iQWGo?si=63Z4wvzIZS5y0-qv,13.361
,,,43.278